feature,mean_abs_shap
elo_delta,0.31071132
tier_num,0.18326296
is_neutral,0.10357908
away_squad_size_top5,0.07729638
home_squad_size_top5,0.06987896
elo_away,0.06157056
delta_squad_size_top5,0.061347052
elo_home,0.04545015
home_goals_conceded_12mo,0.04452597
delta_goal_diff_12mo,0.039734263
home_win_rate_12mo,0.037696186
delta_goals_scored_12mo,0.035995908
delta_form_last10,0.034339316
home_goals_scored_12mo,0.033920076
elo_avg,0.030872671
away_goals_scored_12mo,0.029545242
away_goal_diff_12mo,0.028153503
home_form_last5,0.025643133
away_days_since_last,0.02535444
away_win_rate_12mo,0.024146184
away_goals_conceded_12mo,0.023663213
home_goal_diff_12mo,0.023602158
away_form_last5,0.02345181
delta_win_rate_12mo,0.02287589
home_form_last10,0.02046425
away_form_last10,0.017171571
delta_form_last5,0.014204153
delta_days_since_last,0.013064419
home_h2h_net_wins,0.011849184
home_days_since_last,0.01124931
delta_goals_conceded_12mo,0.01055677
away_h2h_net_wins,0.004266907
delta_h2h_net_wins,0.00077204296
